company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
vivo,8,128,6.44,5000,16,54,263
OPPO,6,128,6.53,4020,16,53,263
Mi,6,128,7.07,5000,20,82,263
vivo,4,64,6.3,3260,24,21,263
OnePlus,6,128,6.43,4500,64,64,262
OPPO,8,128,6.43,4500,18,68,262
SAMSUNG,6,128,6.4,5000,64,64,261
REDMI,8,256,6.6,5080,64,64,260
SAMSUNG,6,128,6.7,5000,108,108,258
SAMSUNG,6,128,6.7,5000,108,108,258
realme,8,128,6.6,5000,16,52,252
realme,8,128,6.6,5000,16,52,252
realme,6,128,7.02,5000,16,74,252
realme,6,128,7.02,5000,16,74,252
POCO,6,128,7.07,5000,16,118,252
Redmi,6,64,6.39,4000,20,69,252
11,8,128,6.55,4250,64,64,252
realme,8,128,6.6,5000,16,52,252
realme,8,128,6.6,5000,16,52,252
realme,6,128,7.02,5000,16,74,252
realme,6,128,7.02,5000,16,74,252
realme,6,128,7.02,5000,16,74,252
POCO,6,128,7.07,5000,16,118,252
Redmi,6,64,6.39,4000,20,69,252
SAMSUNG,6,128,6.6,5000,8,55,252
SAMSUNG,6,128,6.6,5000,8,55,252
SAMSUNG,6,128,6.6,5000,8,55,252
POCO,6,128,7.07,5000,16,118,252
Xiaomi,6,128,6.55,4250,20,77,252
SAMSUNG,8,128,6.6,5000,8,71,252
REDMI,6,128,6.6,5080,64,64,252
REDMI,8,128,7.07,5020,16,223,252
OPPO,8,128,6.4,4000,16,60,252
OPPO,8,128,6.4,4000,16,60,252
OPPO,8,128,6.4,4000,16,60,252
vivo,8,128,6.58,5000,16,54,252
Xiaomi,6,128,6.55,4250,20,77,252
Mi,6,128,7.07,4520,48,48,251
Xiaomi,8,128,6.55,4250,20,77,251
realme,8,128,6.4,4500,32,77,241
POCO,6,64,6.18,4000,20,17,241
Mi,6,128,6.55,4250,16,77,241
OPPO,8,128,6.5,5000,16,60,241
OPPO,8,128,6.5,5000,16,60,241
OPPO,8,128,6.52,5000,16,60,241
realme,8,128,6.57,4200,24,76,241
OPPO,4,64,6.3,3500,16,18,241
OPPO,4,128,6.53,4020,16,53,241
OPPO,4,128,6.53,4020,16,53,241
OPPO,8,128,6.43,4500,40,68,240
MOTOROLA,8,128,6.6,5000,16,60,238
MOTOROLA,8,128,6.6,5000,16,60,238
realme,8,128,6.4,5000,48,48,238
realme,6,128,6.4,5000,48,48,236
GIONEE,4,64,5.5,4010,13,13,236
REDMI,6,128,6.6,5080,64,64,233
SAMSUNG,4,128,6.4,4000,32,61,231
SAMSUNG,4,128,6.4,4000,32,61,231
SAMSUNG,4,64,6.4,4000,25,38,231
vivo,8,128,6.38,4500,16,66,230
vivo,8,128,6.38,4500,16,66,230
POCO,8,256,7.07,4500,22,74,230
SAMSUNG,8,128,6.6,5000,13,52,230
REDMI,6,128,7.07,5000,13,60,230
REDMI,6,128,7.07,5020,32,79,230
REDMI,6,128,7.07,5000,13,60,230
realme,8,128,6.53,3765,16,63,230
realme,8,128,6.53,3765,16,63,230
vivo,8,128,6.38,4500,16,66,230
vivo,8,128,6.38,4500,16,66,230
POCO,8,256,7.07,4500,22,76,230
SAMSUNG,8,128,6.6,5000,13,52,230
SAMSUNG,8,128,6.6,5000,13,52,230
OPPO,8,128,6.43,4500,64,64,230
POCO,8,256,7.07,4500,22,76,230
OPPO,4,64,5.5,3200,13,13,230
vivo,6,64,6.38,4500,32,26,230
OPPO,4,128,6.4,4000,16,60,230
OPPO,4,128,6.4,4000,16,60,230
OPPO,4,128,6.4,4000,16,60,230
OPPO,6,64,6.41,3600,25,18,230
REDMI,6,128,6.6,5080,64,64,229
REDMI,6,128,6.6,5080,64,64,228
OPPO,8,128,6.43,4500,34,66,227
vivo,6,128,6.58,5000,16,52,225
vivo,6,128,6.58,5000,16,52,225
Honor,4,64,5.9,3340,15,18,219
Honor,4,64,5.9,3340,15,18,219
ASUS,4,32,5.5,3000,13,13,219
REDMI,6,128,7.07,5020,108,108,219
SAMSUNG,8,128,6.6,5000,50,50,219
Honor,4,64,5.9,3340,15,18,219
REDMI,6,128,7.07,5020,16,79,219
realme,8,128,6.5,5000,16,58,219
MOTOROLA,6,128,7.18,6000,16,74,219
POCO,8,128,7.07,5160,20,60,219
REDMI,8,128,6.53,4500,20,76,219
MOTOROLA,6,128,6.6,5000,16,60,219
realme,8,128,6.5,5000,16,76,219
realme,8,128,7.12,5000,16,110,219
realme,8,128,7.12,5000,16,110,219
realme,8,128,7.12,5000,16,110,219
POCO,6,128,7.07,5000,16,63,219
Honor,4,128,6.24,3000,16,15,219
Honor,4,128,6.24,3000,16,15,219
Infinix,8,128,7.18,5000,16,61,219
vivo,8,128,6.58,5000,16,52,219
realme,8,128,6.4,4000,76,74,219
REDMI,8,128,6.53,4500,20,76,219
vivo,8,128,6.58,5000,16,52,219
vivo,8,128,6.58,5000,16,52,219
Infinix,8,128,7.18,5000,16,61,219
REDMI,6,128,7.07,5020,108,108,219
vivo,6,128,6.55,5000,8,52,219
vivo,4,32,6.3,3260,16,18,219
OPPO,6,128,6.43,5000,16,52,219
REDMI,8,128,6.6,5000,50,50,219
OPPO,6,256,6.5,4000,16,60,219
REDMI,6,128,6.6,5000,50,50,219
OPPO,6,256,6.5,4000,16,60,219
vivo,4,128,6.38,4500,32,26,219
OPPO,8,128,6.43,4015,18,60,219
Huawei,4,128,6.59,4000,16,26,219
OPPO,8,128,6.43,4015,18,60,219
vivo,8,128,6.44,4050,44,60,219
vivo,8,128,6.44,4050,44,60,219
vivo,8,128,6.58,5000,68,68,219
vivo,6,64,6.38,4500,32,58,219
vivo,8,128,6.58,5000,16,54,219
OPPO,6,128,6.49,5000,8,52,219
REDMI,8,128,6.6,5000,50,50,219
REDMI,6,128,7.07,5000,108,108,219
vivo,8,128,6.58,5000,16,52,219
vivo,8,128,6.58,5000,16,52,218
SAMSUNG,4,32,5.7,3300,13,13,218
SAMSUNG,4,32,5.7,3300,13,13,218
vivo,8,128,6.58,5000,16,52,218
REDMI,6,128,7.07,5000,108,108,218
REDMI,8,128,6.6,5000,50,50,218
OPPO,8,128,6.43,4500,34,68,216
POCO,8,128,7.07,5000,16,74,214
POCO,8,128,7.07,5000,16,74,214
vivo,6,128,6.44,5000,16,50,214
POCO,8,128,7.07,5000,16,74,214
vivo,8,128,6.44,4000,16,68,214
REDMI,6,128,7.07,5020,64,64,214
vivo,8,128,6.58,5000,8,50,214
SAMSUNG,8,128,6.6,5000,50,50,208
REDMI,6,128,6.43,5000,13,76,208
ASUS,4,32,5.5,3000,13,13,208
realme,6,128,6.6,4300,32,86,208
realme,6,128,6.6,5000,16,74,208
vivo,6,128,6.51,5000,8,17,208
vivo,4,64,6.51,5000,8,17,208
SAMSUNG,6,128,6.6,5000,13,52,208
SAMSUNG,6,128,6.6,5000,13,52,208
MOTOROLA,6,128,7.07,5000,32,118,208
Infinix,8,128,7.25,4500,58,58,208
POCO,6,128,7.07,4500,22,76,208
vivo,8,128,6.58,5000,16,54,208
REDMI,6,128,7.07,5000,13,58,208
REDMI,6,128,7.07,5000,13,58,208
Mi,8,128,6.55,4250,16,77,208
Mi,8,128,6.55,4250,16,77,208
REDMI,6,128,6.53,5020,13,60,208
REDMI,6,128,6.6,5000,50,50,208
REDMI,6,64,6.43,5000,50,50,208
REDMI,6,128,7.07,5000,13,58,208
SAMSUNG,6,128,6.6,5000,13,52,208
realme,6,128,7.12,5000,16,110,208
realme,6,128,7.12,5000,16,110,208
realme,6,128,7.12,5000,16,110,208
vivo,6,128,6.38,4500,16,66,208
vivo,6,128,6.38,4500,16,66,208
SAMSUNG,6,128,6.4,6000,64,64,208
SAMSUNG,6,128,6.5,5000,50,50,208
SAMSUNG,8,128,6.5,5000,13,63,208
REDMI,8,128,6.6,5000,50,50,208
OPPO,4,64,6.2,4230,16,15,208
REDMI,6,128,6.43,5000,50,50,208
OPPO,4,128,6.5,5000,16,60,208
OPPO,4,128,6.52,5000,16,60,208
REDMI,8,128,6.6,5000,50,50,208
SAMSUNG,8,128,6.5,5000,13,63,208
REDMI,8,128,6.6,5000,50,50,208
OPPO,4,64,6.2,4230,16,15,208
OPPO,4,64,6.2,4230,16,15,208
OPPO,8,128,6.56,5000,8,52,208
